id,factor,pi_value,time
1,1,4,"2024-05-09 03:00:00"
2,1,4,"2024-05-09 03:01:00"
3,8,3.01707,"2024-05-09 03:02:00"
4,27,3.17862,"2024-05-09 03:03:00"
5,64,3.12597,"2024-05-09 03:04:00"
6,125,3.14959,"2024-05-09 03:05:00"
7,216,3.13696,"2024-05-09 03:06:00"
8,343,3.14451,"2024-05-09 03:07:00"
9,512,3.13964,"2024-05-09 03:08:00"
10,729,3.14296,"2024-05-09 03:09:00"
11,1000,3.14059,"2024-05-09 03:10:00"
12,1331,3.14234,"2024-05-09 03:11:00"
13,1728,3.14101,"2024-05-09 03:12:00"
14,2197,3.14205,"2024-05-09 03:13:00"
15,2744,3.14123,"2024-05-09 03:14:00"
16,3375,3.14189,"2024-05-09 03:15:00"
17,4096,3.14135,"2024-05-09 03:16:00"
18,4913,3.1418,"2024-05-09 03:17:00"
19,5832,3.14142,"2024-05-09 03:18:00"
20,6859,3.14174,"2024-05-09 03:19:00"
21,8000,3.14147,"2024-05-09 03:20:00"
22,9261,3.1417,"2024-05-09 03:21:00"
23,10648,3.1415,"2024-05-09 03:22:00"
24,12167,3.14167,"2024-05-09 03:23:00"
25,13824,3.14152,"2024-05-09 03:24:00"
26,15625,3.14166,"2024-05-09 03:25:00"
27,17576,3.14154,"2024-05-09 03:26:00"
28,19683,3.14164,"2024-05-09 03:27:00"
29,21952,3.14155,"2024-05-09 03:28:00"
30,24389,3.14163,"2024-05-09 03:29:00"
31,27000,3.14156,"2024-05-09 03:30:00"
32,29791,3.14163,"2024-05-09 03:31:00"
33,32768,3.14156,"2024-05-09 03:32:00"
34,35937,3.14162,"2024-05-09 03:33:00"
35,39304,3.14157,"2024-05-09 03:34:00"
36,42875,3.14162,"2024-05-09 03:35:00"
37,46656,3.14157,"2024-05-09 03:36:00"
38,50653,3.14161,"2024-05-09 03:37:00"
39,54872,3.14157,"2024-05-09 03:38:00"
40,59319,3.14161,"2024-05-09 03:39:00"
41,64000,3.14158,"2024-05-09 03:40:00"
42,68921,3.14161,"2024-05-09 03:41:00"
43,74088,3.14158,"2024-05-09 03:42:00"
44,79507,3.14161,"2024-05-09 03:43:00"
45,85184,3.14158,"2024-05-09 03:44:00"
46,91125,3.1416,"2024-05-09 03:45:00"
47,97336,3.14158,"2024-05-09 03:46:00"
48,103823,3.1416,"2024-05-09 03:47:00"
49,110592,3.14158,"2024-05-09 03:48:00"
50,117649,3.1416,"2024-05-09 03:49:00"
51,125000,3.14158,"2024-05-09 03:50:00"
52,132651,3.1416,"2024-05-09 03:51:00"
53,140608,3.14159,"2024-05-09 03:52:00"
54,148877,3.1416,"2024-05-09 03:53:00"
55,157464,3.14159,"2024-05-09 03:54:00"
56,166375,3.1416,"2024-05-09 03:55:00"
57,175616,3.14159,"2024-05-09 03:56:00"
58,185193,3.1416,"2024-05-09 03:57:00"
59,195112,3.14159,"2024-05-09 03:58:00"
60,205379,3.1416,"2024-05-09 03:59:00"
